ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
aa2rr,✓,,✓,Arcade Archives 2: Ridge Racer,,アーケードアーカイブス2 リッジレーサー
aa2ac22,✓,,✓,Arcade Archives 2: AIR COMBAT 22,,アーケードアーカイブス2 エアーコンバット22
bdffhr,✓,,✓,Bravely Default: Flying Fairy HD Remaster,,ブレイブリーデフォルト フライングフェアリー HDリマスター
cp2077ue,✓,,✓,Cyberpunk 2077: Ultimate Edition,,サイバーパンク2077 アルティメットエディション
dltrn,✓,,,Deltarune,,
donkkngb,✓,,✓,Donkey Kong Bananza,,ドンキーコング バナンザ
flitgwstns2e,✓,,✓,Fantasy Life i: The Girl Who Steals Time – Nintendo Switch 2 Edition,,ファンタジーライフｉ グルグルの竜と時をぬすむ少女 Nintendo Switch 2 Edition
fastfsn,✓,,,Fast Fusion,,
fortnite,✓,,,Fortnite,,フォートナイト
hitmanwoase,✓,,,Hitman: World of Assassination – Signature Edition,,
hgwrtlgc,✓,,,Hogwarts Legacy,,ホグワーツ・レガシー Hogwarts Legacy
kbairrde2,✓,,✓,Kirby Air Riders,,カービィのエアライダー
kunigamipotg,✓,,✓,Kunitsu-Gami: Path of the Goddess,,祇（くにつがみ）：Path of the Goddess
tlozbotwns2e,✓,,✓,The Legend of Zelda: Breath of the Wild – Nintendo Switch 2 Edition,,ゼルダの伝説　ブレス オブ ザ ワイルド Nintendo Switch 2 Edition
tloztotkns2e,✓,,✓,The Legend of Zelda: Tears of the Kingdom – Nintendo Switch 2 Edition,,ゼルダの伝説　ティアーズ オブ ザ キングダム Nintendo Switch 2 Edition
mkwrld,✓,,✓,Mario Kart World,,マリオカート ワールド
ngcnc,✓,,,Nintendo GameCube – Nintendo Classics,,ニンテンドー ゲームキューブ Nintendo Classics
ns2wtour,✓,,✓,Nintendo Switch 2 Welcome Tour,,Nintendo Switch 2 のひみつ展
nmskyns2e,✓,,,No Man's Sky - Nintendo Switch 2 Edition,,
nobambiace,✓,,,Nobunaga's Ambition: Awakening Complete Edition,,
pptts2s,✓,,✓,Puyo Puyo Tetris 2S,,ぷよぷよ™テトリス®２Ｓ
rairtmotsa,✓,,✓,Raidou Remastered: The Mystery of the Soulless Army,,RAIDOU Remastered: 超力兵団奇譚
runefgoa,✓,,✓,Rune Factory: Guardians of Azuma – Nintendo Switch 2 Edition,,龍の国 ルーンファクトリー Nintendo Switch 2 Edition
spbyi,,,✓,Shine Post: Be Your Idol!,,シャインポスト Be Your アイドル！
smcvlztnviins2e,✓,,,Sid Meier's Civilization VII – Nintendo Switch 2 Edition,,シドマイヤーズ シヴィライゼーション VII Nintendo Switch 2 Edition
sncxsdwgens,✓,,✓,Sonic X Shadow Generations,,ソニック × シャドウ ジェネレーションズ
spltfctn,✓,,,Split Fiction,,スプリット・フィクション
sf6,✓,,,Street Fighter 6,,
suiko12hdrgraduw,✓,,✓,Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,,幻想水滸伝 I&II HDリマスター for Nintendo Switch 2 門の紋章戦争 / デュナン統一戦争
survkds,✓,,✓,Survival Kids,,サバイバルキッズ
tamoplazns2e,✓,,✓,Tamagotchi Plaza – Nintendo Switch 2 Edition,,たまごっちのプチプチおみせっち おまちど～さま！ Nintendo Switch 2 Edition
yak0dc,✓,,✓,Yakuza 0 Director's Cut,,龍が如く０ 誓いの場所 Director's Cut
