ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
t2048,0,,,2048,,
achhd,0,,,Animal Crossing: Happy Home Designer,,
acnl,0,,,Animal Crossing: New Leaf,,
acnlwa,0,,,Animal Crossing: New Leaf - Welcome amiibo,,
ajaa,0,,,Apollo Justice: Ace Attorney,,
argms,0,,,AR Games,,
aalfe,0,,,Art Academy: Lessons for Everyone!,,
btlbrt,0,,,Beyond the Labyrinth,,
cttt,0,,,Captain Toad: Treasure Tracker,,
cvstr,0,,,Cave Story,,
cvstr3d,0,,,Cave Story 3D,,
crzl,0,,,Chibi-Robo! Zip Lash,,
cdopcs,0,,,Code of Princess,,
clrs3d,0,,,Colors! 3D,,
cm4km,0,,,Cooking Mama 4: Kitchen Magic,,
cm5ba,0,,,Cooking Mama 5: Bon Appétit!,,
cmss,0,,,Cooking Mama: Sweet Shop,,
crsshrd,0,,,CRIMSON SHROUD,,
cldcrvlt,0,,,Culdcept Revolt,,
ctrpe,0,,,Cut the Rope,,
dtpkc,0,,,Detective Pikachu,,
dsnaa,0,,,Disney Art Academy,,
dkcr3d,0,,,Donkey Kong Country Returns 3D,,
drmmc,0,,,Dr. Mario: Miracle Cure,,
dqhrs3pp,0,,,Dragon Quest Heroes: Rocket Slime 3 - Pirate & Platywag,,
dqmj3,0,,,Dragon Quest Monsters: Joker 3,,
dqmj3p,0,,,Dragon Quest Monsters: Joker 3 Professional,,
dqmtwl3d,0,,,Dragon Quest Monsters: Terry’s Wonderland 3D,,
dqviiffp,0,,,Dragon Quest VII: Fragments of the Forgotten Past,,
dqviiijck,0,,,Dragon Quest VIII: Journey of the Cursed King,,
evross,0,,,Ever Oasis,,
fraiders,0,,,Face Raiders,,
ftsl,0,,,Fantasy Life,,
ffexp,0,,,FINAL FANTASY EXPLORERS,,
fea,0,,,Fire Emblem Awakening,,
feesov,0,,,Fire Emblem Echoes: Shadows of Valentia,,
fef,0,,,Fire Emblem Fates,,
fpns3d,0,,,Flipnote Studio 3D,,
hm3danb,0,,,Harvest Moon 3D: A New Beginning,,
hm3dttttp,0,,,Harvest Moon 3D: The Tale of Two Towns,,
