ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
otsw,0,,,1-2-Switch,,
ahit,0,,,A Hat in Time,,
acnh,0,,,Animal Crossing: New Horizons,,あつまれ どうぶつの森
apxlgnd,0,,,Apex Legends,,エーペックスレジェンズ
arnvlr,0,,,Arena of Valor,,伝説対決
arms,0,,,ARMS,,
aspt9l,0,,,Asphalt 9: Legends,,
aciiirmst,0,,,Assassin's Creed III: Remastered,,
actecltn,0,,,Assassin's Creed The Ezio Collection,,
actrcltn,0,,,Assassin’s Creed: The Rebel Collection,,
astchn,0,,,Astral Chain,,ASTRAL CHAIN (アストラルチェイン)
aataoddx,0,,,Atelier Ayesha: The Alchemist of Dusk DX,,
aelaotdsdx,0,,,Atelier Escha & Logy: Alchemists of the Dusk Sky DX,,
altsoa,0,,,Atelier Lulua ~The Scion of Arland~,,
alastamp,0,,,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,,
amtaadx,0,,,Atelier Meruru ~The Apprentice of Arland~ DX,,
artaadx,0,,,Atelier Rorona ~The Alchemist of Arland~ DX,,
aredsh,0,,,Atelier Ryza: Ever Darkness & the Secret Hideout,,
asadsdx,0,,,Atelier Shallie: Alchemists of the Dusk Sea DX,,
attaadx,0,,,Atelier Totori ~The Adventurer of Arland~ DX,,
bynt,0,,,Bayonetta,,ベヨネッタ
bynt2,0,,,Bayonetta 2,,ベヨネッタ2
bsitce,0,,,BioShock Infinite: The Complete Edition,,
bsrmst,0,,,BioShock Remastered,,
bscotm,0,,,Bloodstained: Curse of the Moon,,
bscotm2,0,,,Bloodstained: Curse of the Moon 2,,
bsrotn,0,,,Bloodstained: Ritual of the Night,,
bllcltn,0,,,Borderlands Legendary Collection,,
bvldftii,0,,,Bravely Default II,,ブレイブリーデフォルトII
brwlhl,0,,,Brawlhalla,,
brwlout,0,,,Brawlout,,
bbspof,0,,,Bubsy: Paws on Fire!,,
bsthsb,0,,,Bud Spencer & Terence Hill: Slaps and Beans,,
boprmst,0,,,Burnout Paradise Remastered,,
cdcohrl,0,,,Cadence of Hyrule,,
cotndtloz,0,,,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,,
cttt,0,,,Captain Toad: Treasure Tracker,,進め! キノピオ隊長
ccrmst,0,,,Castle Crashers Remastered,,
catqst,0,,,Cat Quest,,
catqstii,0,,,Cat Quest II,,
ctrnfb,0,,,Catherine: Full Body,,
cstoryp,0,,,Cave Story+,,洞窟物語+
clst,0,,,Celeste,,
cmdeb,0,,,Chocobo's Mystery Dungeon EVERY BUDDY!,,
chg51wc,0,,,Clubhouse Games: 51 Worldwide Classics,,
copex,0,,,Code of Princess EX,,
cxm,0,,,Collar x Malice,,
cbnst,0,,,Crash Bandicoot N.Sane Trilogy,,
ctrnf,0,,,Crash Team Racing: Nitro-Fueled,,
crsnblast,0,,,Cruis'n Blast,,
croll,0,,,Crunchyroll,,
cotndnse,0,,,Crypt of the NecroDancer: Nintendo Switch Edition,,
cotl,0,,,Cult of the Lamb,,
cuph,0,,,Cuphead,,
dmnxmcn,0,,,DAEMON X MACHINA,,
dgrp2gdae,0,,,Danganronpa 2: Goodbye Despair Anniversary Edition,,
dgrpsusc,0,,,Danganronpa S: Ultimate Summer Camp,,
dgrpv3khae,0,,,Danganronpa V3: Killing Harmony Anniversary Edition,,
dgrpthhae,0,,,Danganronpa: Trigger Happy Havoc Anniversary Edition,,
dasormst,0,,,DARK SOULS: Remastered,,
dntlss,0,,,Dauntless,,
dbdl,0,,,Dead by Daylight,,
ddpm2abd,0,,,Deadly Premonition 2: A Blessing In Disguise,,
ddpmo,0,,,Deadly Premonition Origins,,
dltrnch1,0,,,DELTARUNE Chapter 1,,
dsknythc,0,,,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,,鬼滅の刃 ヒノカミ血風譚
diiiec,0,,,Diablo III: Eternal Collection,,
dscsce,0,,,Digimon Story Cyber Sleuth: Complete Edition,,
dsg1c,0,,,Disgaea 1 Complete,,
dsg4cp,0,,,Disgaea 4 Complete+,,
dsg5c,0,,,Disgaea 5 Complete,,
dsg6dod,0,,,Disgaea 6: Defiance of Destiny,,
ddlcp,0,,,Doki Doki Literature Club Plus!,,
dkctf,0,,,Donkey Kong Country: Tropical Freeze,,ドンキーコング トロピカルフリーズ
doom,0,,,DOOM,,
doomc,0,,,DOOM (Classic),,
doom2c,0,,,DOOM 2 (Classic),,
doom3,0,,,DOOM 3,,
drmsos,0,,,DORAEMON STORY OF SEASONS,,
dbfghtz,0,,,DRAGON BALL FighterZ,,ドラゴンボール ファイターズ
dbxeno2,0,,,DRAGON BALL Xenoverse 2,,ドラゴンボール ゼノバース2
dgnqst,0,,,DRAGON QUEST,,ドラゴンクエスト
dqblds,0,,,DRAGON QUEST BUILDERS,,ドラゴンクエストビルダーズ アレフガルドを復活せよ
dqblds2,0,,,DRAGON QUEST BUILDERS 2,,ドラゴンクエストビルダーズ2 破壊神シドーとからっぽの島
dqiilll,0,,,DRAGON QUEST II: Luminaries of the Legendary Line,,ドラゴンクエストII 悪霊の神々
dqiiitss,0,,,DRAGON QUEST III: The Seeds of Salvation,,ドラゴンクエストIII そして伝説へ…
dqxiseea,0,,,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,,ドラゴンクエストXI 過ぎ去りし時を求めて S
etgun,0,,,Enter the Gungeon,,
flgs,0,,,Fall Guys,,
fexlink,0,,,Fate/EXTELLA LINK,,
fextus,0,,,Fate/EXTELLA: The Umbral Star,,
eaf19,0,,,FIFA 19,,
eaf22,0,,,FIFA 22 Nintendo Switch Legacy Edition,,
ffix,0,,,FINAL FANTASY IX,,
ffvii,0,,,FINAL FANTASY VII,,
ffviiir,0,,,FINAL FANTASY VIII: Remastered,,
ffvxx2hd,0,,,FINAL FANTASY X/X-2 HD Remaster,,
ffxiitza,0,,,FINAL FANTASY XII: THE ZODIAC AGE,,
ffxvpehd,0,,,FINAL FANTASY XV: POCKET EDITION HD,,
fewrs,0,,,Fire Emblem Warriors,,
fethrhs,0,,,Fire Emblem: Three Houses,,
fortnite,0,,,Fortnite,,
ft13thg,0,,,Friday The 13th: The Game,,
gbg,0,,,Game Builder Garage,,ナビつき! つくってわかる はじめてゲームプログラミング
grfldkfr,0,,,Garfield Kart Furious Racing,,
govctn,0,,,Go Vacation,,
glfstr,0,,,Golf Story,,
gtatde,0,,,Grand Theft Auto: The Trilogy – The Definitive Edition,,
gridas,0,,,GRID Autosport,,
grip,0,,,GRIP,,
hades,0,,,Hades,,
hlwkngt,0,,,Hollow Knight,,
hwaoc,0,,,Hyrule Warriors: Age of Calamity,,ゼルダ無双 厄災の黙示録
hrlwsrde,0,,,Hyrule Warriors: Definitive Edition,,ゼルダ無双 ハイラルオールスターズ DX
jetkva,0,,,Jet Kave Adventure,,
jmpkng,0,,,Jump King,,
jd20,0,,,Just Dance 2020,,
jd20,0,,,Just Dance 2022,,
krbatfl,0,,,Kirby and the Forgotten Land,,星のカービィ ディスカバリー
krbf2,0,,,Kirby Fighters 2,,カービィファイターズ2
krbsa,0,,,Kirby Star Allies,,
krbdb,0,,,Kirby's Dream Buffet,,カービィのグルメフェス
lanoire,0,,,L.A. Noire,,
lorcod,0,,,Labyrinth of Refrain: Coven of Dusk,,
lpsxlbrt,0,,,Lapis x Labyrinth,,
lmjkatmc,0,,,LAYTON’S MYSTERY JOURNEY: Katrielle and the Millionaires’ Conspiracy - Deluxe Edition,,
lomana,0,,,Legend of Mana,,
lctuc,0,,,LEGO City Undercover,,
ldcsv,0,,,LEGO DC Super-Villains,,
lhpcltn,0,,,LEGO Harry Potter Collection,,
ljwrld,0,,,LEGO Jurassic World,,
lmsh2,0,,,LEGO Marvel Super Heroes 2,,
lnmvg,0,,,LEGO NINJAGO Movie Video Game,,
ltincdlbs,0,,,LEGO The Incredibles,,
lwrlds,0,,,LEGO Worlds,,
ltlth,0,,,Little Town Hero,,
