ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
atfji,0,,,Adventure Time: Finn & Jake Investigations,,
aop,0,,,Adventures of Pip,,
asa,0,,,Affordable Space Adventures,,
atngb,0,,,amiibo tap: Nintendo's Greatest Bits,,タッチ!amiibo いきなりファミコン名シーン
abt,0,,,Angry Birds Trilogy,,
avgna,0,,,Angry Video Game Nerd Adventures,,
acaf,0,,,Animal Crossing: amiibo Festival,,どうぶつの森 amiiboフェスティバル
awootw,0,,,Another World Out of This World,,
acs,0,,,Aperion Cyberstorm,,
amru,0,,,Aqua Moto Racing Utopia,,
atv,0,,,AquaTV,,
akrg,0,,,Armikrog,,
aahs,0,,,Art Academy: Home Studio,Art Academy: Atelier,
aob,0,,,Art of Balance,,アートオブバランス
aciii,0,,,Assassin's Creed III,,
acivbf,0,,,Assassin's Creed IV Black Flag,,
axve,0,,,Axiom Verge,,
btb,0,,,Back to Bed,,
bao,0,,,Batman Arkham Origins,,
bacae,0,,,Batman: Arkham City Armored Edition,,バットマン:アーカム･シティ アーマード･エディション
baobgde,0,,,Batman: Arkham Origins Blackgate - Deluxe Edition,,
byo1,0,,,Bayonetta,,
byo2,0,,,Bayonetta 2,,
brudxwt,0,,,Bike Rider Ultra DX - WORLD TOUR,,
bmbb,0,,,Bombing Bastards,,
brickb,0,,,Brick Breaker,,
codboii,0,,,Call of Duty: Black Ops II,,
codg,0,,,Call of Duty: Ghosts,,
cttt,0,,,Captain Toad: Treasure Tracker,,進め!キノピオ隊長
c3dtw,0,,,Cars 3: Driven to Win,,
csts,0,,,CastleStorm,,
chrt,0,,,Chariot,,
chsa,0,,,Chasing Aurora,,
col,0,,,Child of Light,,
cothoe,0,,,Chronicles of Teddy: Harmony of Exidus,,
cbk,0,,,Cloudberry Kingdom,,
ccd,0,,,Coaster Crazy Deluxe,,
cq2,0,,,Costume Quest 2,,
croll,0,,,Crunchyroll,,
dswe,0,,,Darksiders Warmastered Edition,,
dehrdc,0,,,Deus Ex: Human Rev. Director's Cut,,
dthd,0,,,Devil's Third,,
dem2tpot,0,,,Disney Epic Mickey 2: The Power of Two,,
dinft,0,,,Disney INFINITY,,
dsge,0,,,Don't Starve: Giant Edition,,
dkctf,0,,,Donkey Kong Country: Tropical Freeze,,ドンキーコング トロピカルフリーズ
dta,0,,,Dot Arcade,,
drl,0,,,Dr. Luigi,,Dr.LUIGI & 細菌撲滅
dualc,0,,,Dual Core,,
dtrm,0,,,DuckTales: Remastered,,
ddcom,0,,,Dungeons & Dragons: Chronicles of Mystara,,
vcmother2,0,,0,EarthBound,,MOTHER2 ギーグの逆襲
vcmother,0,,0,EarthBound Beginnings,,MOTHER
elfom,0,,,Earthlock: Festival of Magic,,
ecpl,0,,,ECTOPLAZA,,
edge,0,,,EDGE,,
eltq,0,,,Elliot Quest,,
wes,0,,,eShop,,
f1rspue,0,,,F1 RACE STARS: Powered Up Edition,,
ftn,0,,,FAST Racing NEO,,
ffmobw,0,,,Fatal Frame: Maiden of Black Water,,
fs13,0,,,FIFA Soccer 13,,
from,0,,,Frederic: Resurrection of Music,,
freep,0,,,Freedom Planet,,
fme,0,,,FreezeME,,
gaw,0,,,Game & Wario,,ポケモンスクランブル U
getc,0,,,GetClose,,
gstd,0,,,Giana Sisters: Twisted Dreams,,
gmstce,0,,,Guacamelee! Super Turbo Championship Edition,,
ghl,0,,,Guitar Hero Live,,
gchdc,0,,,Gunman Clive HD Collection,,
hkk,0,,,Hello Kitty Kruisers,,
hivej,0,,,Hive Jump,,
zhw,0,,,Hyrule Warriors,,ゼルダ無双
igau,0,,,Injustice: Gods Among Us,,インジャスティス:神々(ヒーロー)の激突
wib,0,,,Internet Browser,,
idew,0,,,Ittle Dew,,
katrc,0,,,Kirby and the Rainbow Curse,Kirby and the Rainbow Paintbrush,タッチ！カービィ スーパーレインボー
lb2,0,,,LEGO Batman 2,,
lb3bg,0,,,LEGO Batman 3 Beyond Gotham,,LEGOバットマン3 ザ･ゲーム ゴッサムから宇宙へ
lcuc,0,,,LEGO City Undercover,,
ldms,0,,,LEGO DIMENSIONS,,
ljw,0,,,LEGO Jurassic World,,
lmsh,0,,,LEGO MARVEL Super Heroes,,LEGOマーベル スーパー･ヒーローズ ザ･ゲーム 
lma,0,,,LEGO MARVEL's Avengers,,LEGOマーベル アベンジャーズ
lsw,0,,,LEGO STAR WARS,,
lth,0,,,LEGO The Hobbit,,
linf,0,,,Little Inferno,,
maso16,0,,,Mario & Sonic at the Rio 2016 Olympic Games,,マリオ&ソニック AT リオオリンピック
maso14,0,,,Mario & Sonic at the Sochi 2014 Olympic Winter Games,,マリオ＆ソニック AT ソチオリンピック
mk8,0,,,Mario Kart 8,,マリオカート8
mp10,0,,,Mario Party 10,,マリオパーティ10
mtus,0,,,Mario Tennis: Ultra Smash,,マリオテニス ウルトラスマッシュ
mvdkts,0,,,Mario vs. Donkey Kong: Tipping Stars,,マリオvs.ドンキーコング みんなでミニランド
me3se,0,,,Mass Effect 3 Special Edition,,
mn9,0,,,Mighty No. 9,,
msf2,0,,,Mighty Switch Force! 2,,
msfhde,0,,,Mighty Switch Force! Hyper Drive Edition,,マイティー スイッチ フォース!  ハイパードライブエディション
wmm,0,,,Mii Maker,,
msm,0,,,Minecraft: Story Mode,,
mwe,0,,,Minecraft: Wii U Edition,,
mmafac,0,,,Mini Mario & Friends: amiibo Challenge,,ミニマリオ ＆ フレンズ amiiboチャレンジ
mh3u,0,,,Monster Hunter 3 Ultimate,,モンスターハンター3(トライ)G HD Ver.
mrpa,0,,,Mr.Pumpkin Adventure,,
mmd,0,,,Mutant Mudds Deluxe,,
mmdsc,0,,,Mutant Mudds Super Challenge,,
nan,0,,,Nano Assault Neo,,ナノアサルト ネオ
nfsmwu,0,,,Need for Speed: Most Wanted U,,
nesr,0,,,NES Remix,,ファミコンリミックス
nesr2,0,,,NES Remix 2,,ファミコンリミックス 2
naki,0,,,Never Alone (Kisima Ingitchuna),,
nslu,0,,,New Super Luigi U,,New スーパールイージ U
