INDEX,US,EU,JP,US TITLE,EU TITLE,JP TITLE
,0,,,1-2-Switch,,
,0,,,A Hat in Time,,
,0,,,Animal Crossing: New Horizons,,
,0,,,Apex Legends,,
,0,,,Arena of Valor,,
,0,,,ARMS,,
,0,,,Asphalt 9: Legends,,
,0,,,Astral Chain,,
,0,,,Atelier Ayesha: The Alchemist of Dusk DX,,
,0,,,Atelier Escha & Logy: Alchemists of the Dusk Sky DX,,
,0,,,Atelier Lulua ~The Scion of Arland~,,
,0,,,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,,
,0,,,Atelier Meruru ~The Apprentice of Arland~ DX,,
,0,,,Atelier Rorona ~The Alchemist of Arland~ DX,,
,0,,,Atelier Ryza: Ever Darkness & the Secret Hideout,,
,0,,,Atelier Shallie: Alchemists of the Dusk Sea DX,,
,0,,,Atelier Totori ~The Adventurer of Arland~ DX,,
,0,,,Bayonetta,,
,0,,,Bayonetta 2,,
,0,,,BioShock Infinite: The Complete Edition,,
,0,,,BioShock Remastered,,
,0,,,Bloodstained: Curse of the Moon,,
,0,,,Bloodstained: Curse of the Moon 2,,
,0,,,Bloodstained: Ritual of the Night,,
,0,,,Borderlands Legendary Collection,,
,0,,,Bravely Default II,,
,0,,,Brawlhalla,,
,0,,,Brawlout,,
,0,,,Bubsy: Paws on Fire!,,
,0,,,Burnout Paradise Remastered,,
,0,,,Cadence of Hyrule,,
,0,,,Captain Toad: Treasure Tracker,,
,0,,,Castle Crashers Remastered,,
,0,,,Cat Quest,,
,0,,,Cat Quest II,,
,0,,,Catherine: Full Body,,
,0,,,Cave Story+,,
,0,,,Celeste,,
,0,,,Chocobo's Mystery Dungeon EVERY BUDDY!,,
,0,,,Clubhouse Games: 51 Worldwide Classics,,
,0,,,Code of Princess EX,,
,0,,,Crash Bandicoot N.Sane Trilogy,,
,0,,,Crash Team Racing: Nitro-Fueled,,
,0,,,Cuphead,,
,0,,,DAEMON X MACHINA,,
,0,,,DARK SOULS: Remastered,,
,0,,,Dauntless,,
,0,,,Deadly Premonition 2: A Blessing In Disguise,,
,0,,,Deadly Premonition Origins,,
,0,,,DELTARUNE Chapter 1,,
,0,,,Diablo III: Eternal Collection,,
,0,,,Digimon Story Cyber Sleuth: Complete Edition,,
,0,,,Disgaea 1 Complete,,
,0,,,Disgaea 4 Complete+,,
,0,,,Disgaea 5 Complete,,
,0,,,Donkey Kong Country: Tropical Freeze,,
,0,,,DOOM,,
,0,,,DOOM (Classic),,
,0,,,DOOM 2 (Classic),,
,0,,,DOOM 3,,
,0,,,DORAEMON STORY OF SEASONS,,
,0,,,DRAGON BALL FighterZ,,
,0,,,DRAGON BALL Xenoverse 2,,
,0,,,DRAGON QUEST,,
,0,,,DRAGON QUEST BUILDERS,,
,0,,,DRAGON QUEST BUILDERS 2,,
,0,,,DRAGON QUEST II: Luminaries of the Legendary Line,,
,0,,,DRAGON QUEST III: The Seeds of Salvation,,
,0,,,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,,
,0,,,Fate/EXTELLA LINK,,
,0,,,Fate/EXTELLA: The Umbral Star,,
,0,,,FINAL FANTASY IX,,
,0,,,FINAL FANTASY VII,,
,0,,,FINAL FANTASY VIII: Remastered,,
,0,,,FINAL FANTASY X/X-2 HD Remaster,,
,0,,,FINAL FANTASY XII: THE ZODIAC AGE,,
,0,,,FINAL FANTASY XV: POCKET EDITION HD,,
,0,,,Fire Emblem Warriors,,
,0,,,Fire Emblem: Three Houses,,
,0,,,Fortnite,,
,0,,,Friday The 13th: The Game,,
,0,,,Garfield Kart Furious Racing,,
,0,,,Go Vacation,,
,0,,,Golf Story,,
,0,,,GRID Autosport,,
,0,,,GRIP,,
,0,,,Hollow Knight,,
,0,,,Hyrule Warriors: Age of Calamity,,
,0,,,Hyrule Warriors: Definitive Edition,,
,0,,,Jet Kave Adventure,,
,0,,,Jump King,,
,0,,,Just Dance 2020,,
,0,,,Kirby Star Allies,,
,0,,,Labyrinth of Refrain: Coven of Dusk,,
,0,,,Lapis x Labyrinth,,
,0,,,LEGO City Undercover,,
,0,,,LEGO DC Super-Villains,,
,0,,,LEGO Harry Potter Collection,,
,0,,,LEGO Jurassic World,,
,0,,,LEGO Marvel Super Heroes 2,,
,0,,,LEGO NINJAGO Movie Video Game,,
,0,,,LEGO The Incredibles,,
,0,,,LEGO Worlds,,
,0,,,Little Town Hero,,
,0,,,Luigi's Mansion 3,,
,0,,,Mario & Sonic at the Olympic Games Tokyo 2020,,
,0,,,Mario + Rabbids: Kingdom Battle,,
,0,,,Mario Golf: Super Rush,,
,0,,,Mario Kart 8 Deluxe,,
,0,,,Mario Tennis Aces,,
,0,,,Mega Man 11,,
,0,,,Mega Man Legacy Collection,,
,0,,,Mega Man Legacy Collection 2,,
,0,,,Mega Man X Legacy Collection,,
,0,,,Mega Man X Legacy Collection 2,,
,0,,,Mega Man Zero/ZX Legacy Collection,,
,0,,,Metro 2033 Redux,,
,0,,,Metro: Last Light Redux,,
,0,,,Minecraft,,
,0,,,Minecraft Dungeons,,
,0,,,Monster Hunter Generations Ultimate,,
,0,,,Monster Hunter Rise,,
,0,,,Mortal Kombat 11,,
,0,,,Nelke & the Legendary Alchemists ~Ateliers of the New World~,,
,0,,,New Super Lucky's Tale,,
,0,,,New Super Mario Bros. U Deluxe,,
,0,,,Ninjala,,
,0,,,Nintendo Entertainment System,,
,0,,,No More Heroes 3,,
,0,,,Octopath Traveler,,
,0,,,Ori and the Blind Forest: Definitive Edition,,
,0,,,Overwatch: Legendary Edition,,
,0,,,Paladins,,
,0,,,Paper Mario: The Origami King,,
,0,,,PAYDAY 2,,
,0,,,Phoenix Wright: Ace Attorney Trilogy,,
,0,,,Pikmin 3 Deluxe,,
,0,,,Pokémon Café Mix,,
,0,,,Pokémon Home,,
,0,,,Pokémon Mystery Dungeon: Rescue Team DX,,
,0,,,Pokémon Quest,,
,0,,,Pokémon Shield,,
,0,,,Pokémon Sword,,
,0,,,"Pokémon: Let's Go, Eevee!",,
,0,,,"Pokémon: Let's Go, Pikachu!",,
,0,,,Pokkén Tournament DX,,
,0,,,Portal Knights,,
,0,,,Puyo Puyo Champions,,
,0,,,Puyo Puyo Tetris,,
,0,,,Rayman Legends Definitive Edition,,
,0,,,Realm Royale,,
,0,,,Resident Evil 5,,
,0,,,Resident Evil 6,,
,0,,,Ring Fit Adventure,,
,0,,,Rocket League,,
,0,,,Shovel Knight Showdown,,
,0,,,Shovel Knight: King of Cards,,
,0,,,Shovel Knight: Shovel of Hope,,
,0,,,Shovel Knight: Specter of Torment,,
,0,,,Shovel Knight: Treasure Trove,,
,0,,,SMITE,,
,0,,,"Snipperclips - Cut it out, together!",,
,0,,,Sonic Forces,,
,0,,,Sonic Mania,,
,0,,,Splatoon 2,,
,0,,,Spyro Reignited Trilogy,,
,0,,,Stardew Valley,,
,0,,,Starlink: Battle for Atlas,,
,0,,,Steven Universe: Save the Light,,
,0,,,STORY OF SEASONS: Friends of Mineral Town,,
,0,,,Streets of Rage 4,,
,0,,,Super Bomberman R,,
,0,,,Super Kirby Clash,,
,0,,,Super Mario 3D All-Stars,,
,0,,,Super Mario 3D World + Bowser's Fury,,
,0,,,Super Mario Maker 2,,
,0,,,Super Mario Odyssey,,
,0,,,Super Mario Party,,
,0,,,Super Nintendo Entertainment System,,
,0,,,Super Smash Bros. Ultimate,,
,0,,,Team Sonic Racing,,
,0,,,Terraria,,
,0,,,Tetris 99,,
,0,,,The Elder Scrolls V: Skyrim,,
,0,,,The Legend of Zelda: Breath of the Wild,,
,0,,,The Legend of Zelda: Link's Awakening,,
,0,,,The LEGO Movie 2 Videogame,,
,0,,,The Liar Princess and the Blind Prince,,
,0,,,The World Ends with You: Final Remix,,
,0,,,Tokyo Mirage Sessions #FE Encore,,
,0,,,Trials of Mana,,
,0,,,Trials Rising,,
,0,,,Undertale,,
,0,,,void tRrLM(); //Void Terrarium,,
,0,,,Warface,,
,0,,,Warframe,,
,0,,,Wargroove,,
,0,,,WORLD OF FINAL FANTASY: MAXIMA,,
,0,,,Xenoblade Chronicles 2,,
,0,,,Xenoblade Chronicles 2: Torna - The Golden Country,,
,0,,,Xenoblade Chronicles: Definitive Edition,,
,0,,,Xenon Valkyrie+,,
